date_local,parameter_code,sample_duration_code,sample_duration,observation_count,observation_percent,arithmetic_mean,aqi,parameter_code44201,sample_duration_code44201,sample_duration44201,observation_count44201,observation_percent44201,arithmetic_mean44201,aqi44201,parameter_code88101,sample_duration_code88101,sample_duration88101,observation_count88101,observation_percent88101,arithmetic_mean88101,aqi88101,aqi_max,latitude,longitude,validity_indicator,pollutant_standard,units_of_measure,city,latitude44201,longitude44201,validity_indicator44201,pollutant_standard44201,units_of_measure44201,city44201,latitude88101,longitude88101,validity_indicator88101,pollutant_standard88101,units_of_measure88101,city88101
2013-03-29,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.279167,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.022794,29.0,88101,7,24 HOUR,32.0,100.0,4.9,27.25,29.0,,,,,,,,,,,,,,,,,,
2013-03-30,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.404167,9.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.017395666666666667,32.0,,,,,,,,32.0,,,,,,,,,,,,,,,,,,
2013-03-31,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.616667,10.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.028437666666666667,37.0,,,,,,,,37.0,,,,,,,,,,,,,,,,,,
2013-04-01,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.433333,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.026709333333333335,30.0,88101,7,24 HOUR,32.0,100.0,10.675,53.75,53.75,,,,,,,,,,,,,,,,,,
2013-04-02,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.345833,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.033026,35.0,,,,,,,,35.0,,,,,,,,,,,,,,,,,,
2013-04-03,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.366667,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,56.0,86.0,0.033698,35.0,,,,,,,,35.0,,,,,,,,,,,,,,,,,,
2013-04-04,42101,Z,8-HR RUN AVG END HOUR,16.0,67.0,0.3875,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,55.0,86.0,0.022597666666666665,26.0,88101,7,24 HOUR,32.0,100.0,7.75,43.25,43.25,,,,,,,,,,,,,,,,,,
2013-04-05,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.283333,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.03106233333333333,35.0,,,,,,,,35.0,,,,,,,,,,,,,,,,,,
2013-04-06,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.25,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.026111333333333334,35.0,,,,,,,,35.0,,,,,,,,,,,,,,,,,,
2013-04-07,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.316667,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,24.0,37.0,0.021315,20.666666666666668,88101,7,24 HOUR,32.0,100.0,5.575,31.0,31.0,,,,,,,,,,,,,,,,,,
2013-04-08,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.233333,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.023097999999999997,31.0,,,,,,,,31.0,,,,,,,,,,,,,,,,,,
2013-04-09,42101,Z,8-HR RUN AVG END HOUR,11.0,46.0,0.163636,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.019035666666666666,34.0,,,,,,,,34.0,,,,,,,,,,,,,,,,,,
2013-04-10,42101,Z,8-HR RUN AVG END HOUR,8.0,33.0,0.4625,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,17.0,24.0,0.014666666666666666,15.0,88101,7,24 HOUR,32.0,100.0,13.925,60.25,60.25,,,,,,,,,,,,,,,,,,
