date_local,parameter_code,sample_duration_code,sample_duration,observation_count,observation_percent,arithmetic_mean,aqi,parameter_code44201,sample_duration_code44201,sample_duration44201,observation_count44201,observation_percent44201,arithmetic_mean44201,aqi44201,parameter_code88101,sample_duration_code88101,sample_duration88101,observation_count88101,observation_percent88101,arithmetic_mean88101,aqi88101,aqi_max
2013-03-11,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.225,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.031804,36.0,88101,7,24 HOUR,8.0,100.0,5.9,33.0,36.0
2013-03-12,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.195833,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.027049,35.0,88101,7,24 HOUR,8.0,100.0,3.9,22.0,35.0
2013-03-13,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.241667,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.029960666666666667,34.0,88101,7,24 HOUR,8.0,100.0,5.7,32.0,34.0
2013-03-14,42101,Z,8-HR RUN AVG END HOUR,17.0,71.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,51.0,79.33333333333333,0.03894066666666667,40.0,,,,,,,,40.0
2013-03-15,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.029960666666666663,30.666666666666668,88101,7,24 HOUR,8.0,100.0,8.7,48.0,48.0
2013-03-16,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.229167,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.025616333333333335,28.0,88101,7,24 HOUR,8.0,100.0,9.1,51.0,51.0
2013-03-17,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.220833,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.03440833333333334,35.0,88101,7,24 HOUR,8.0,100.0,4.9,27.0,35.0
2013-03-18,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.03420600000000001,35.0,88101,7,24 HOUR,8.0,100.0,3.6,20.0,35.0
2013-03-19,42101,Z,8-HR RUN AVG END HOUR,18.0,75.0,0.2,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,44.0,67.0,0.02552133333333333,31.666666666666668,88101,7,24 HOUR,8.0,100.0,4.5,25.0,31.666666666666668
2013-03-20,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.208333,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.030660333333333335,34.0,88101,7,24 HOUR,8.0,100.0,7.2,40.0,40.0
2013-03-21,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.03315333333333333,34.0,88101,7,24 HOUR,8.0,100.0,8.3,46.0,46.0
2013-03-22,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.027794,31.0,88101,7,24 HOUR,8.0,100.0,5.0,28.0,31.0
2013-03-23,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.03280266666666667,36.0,88101,7,24 HOUR,8.0,100.0,3.5,19.0,36.0
2013-03-24,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.03025833333333333,37.0,,,,,,,,37.0
2013-03-25,42101,Z,8-HR RUN AVG END HOUR,15.0,63.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,47.0,71.66666666666667,0.02344466666666667,28.333333333333332,,,,,,,,28.333333333333332
2013-03-26,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2625,5.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.025913333333333333,34.0,,,,,,,,34.0
2013-03-27,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.216667,3.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.03419966666666666,39.0,88101,7,24 HOUR,8.0,100.0,3.8,21.0,39.0
2013-03-28,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.027655333333333334,33.0,88101,7,24 HOUR,8.0,100.0,4.0,22.0,33.0
2013-03-29,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.2,2.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.029870999999999998,35.0,88101,7,24 HOUR,8.0,100.0,4.1,23.0,35.0
2013-03-30,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.225,6.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.026155333333333333,43.0,88101,7,24 HOUR,8.0,100.0,5.4,30.0,43.0
2013-03-31,42101,Z,8-HR RUN AVG END HOUR,24.0,100.0,0.358333,7.0,44201,W,8-HR RUN AVG BEGIN HOUR,65.0,100.0,0.03880533333333333,46.0,88101,7,24 HOUR,8.0,100.0,10.7,54.0,54.0
