date_local,latitude,longitude,county,aqi_42101,aqi_42401,aqi_44201,aqi_42602,aqi_88502,aqi_max
2013-06-16,40.81551,-73.88553,Bronx,6.0,6.6,55.875,34.5,54.5,55.875
2013-06-17,40.81551,-73.88553,Bronx,6.0,3.8,52.375,35.5,58.0,58.0
2013-06-18,40.81551,-73.88553,Bronx,6.0,1.4,42.0,36.5,55.75,56.0
2013-06-19,40.81551,-73.88553,Bronx,5.5,1.8,39.875,24.0,38.5,39.875
2013-06-20,40.81551,-73.88553,Bronx,5.0,3.4,44.125,27.0,32.75,44.125
2013-06-21,40.81551,-73.88553,Bronx,5.0,2.6,55.625,27.0,42.333333333333336,55.625
2013-06-22,40.81551,-73.88553,Bronx,5.5,3.8,62.75,32.5,46.5,62.75
2013-06-23,40.81551,-73.88553,Bronx,6.0,3.4,43.75,21.0,48.25,48.25
2013-06-24,40.81551,-73.88553,Bronx,6.5,2.6,80.125,25.5,52.5,80.125
2013-06-25,40.81551,-73.88553,Bronx,7.0,3.8,88.875,35.0,61.25,88.875
2013-06-26,40.81551,-73.88553,Bronx,6.5,2.2,59.625,41.0,60.5,60.5
2013-06-27,40.81551,-73.88553,Bronx,6.5,2.2,59.5,34.5,57.0,60.5
2013-06-28,40.81551,-73.88553,Bronx,6.5,1.4,49.375,20.0,49.0,49.375
2013-06-29,40.81551,-73.88553,Bronx,6.5,2.6,48.375,26.5,48.0,48.375
2013-06-30,40.81551,-73.88553,Bronx,7.0,2.6,38.25,25.0,57.0,57.5
2013-07-01,40.81551,-73.88553,Bronx,6.5,1.0,20.625,24.0,46.5,46.5
2013-07-02,40.81551,-73.88553,Bronx,6.0,1.8,21.625,21.5,41.5,41.5
2013-07-03,40.81551,-73.88553,Bronx,6.5,3.8,19.375,27.0,48.25,48.25
2013-07-04,40.81551,-73.88553,Bronx,7.0,1.8,31.5,17.5,47.5,47.5
2013-07-05,40.81551,-73.88553,Bronx,6.0,2.6,42.375,18.5,46.75,46.75
2013-07-06,40.81551,-73.88553,Bronx,5.5,4.2,46.375,16.0,48.25,54.0
2013-07-07,40.81551,-73.88553,Bronx,6.0,3.4,58.625,12.5,43.0,58.625
2013-07-08,40.81551,-73.88553,Bronx,6.0,2.6,65.125,15.5,42.75,65.125
2013-07-09,40.81551,-73.88553,Bronx,6.5,3.8,80.625,27.0,58.0,80.625
2013-07-10,40.81551,-73.88553,Bronx,7.5,1.8,58.875,38.0,67.0,67.0
2013-07-11,40.81551,-73.88553,Bronx,7.5,1.8,46.25,24.0,55.5,55.5
2013-07-12,40.81551,-73.88553,Bronx,6.5,1.0,36.75,13.5,40.25,41.5
2013-07-13,40.81551,-73.88553,Bronx,6.0,1.0,28.0,21.0,33.75,33.75
2013-07-14,40.81551,-73.88553,Bronx,6.5,2.6,31.25,18.0,42.5,42.5
2013-07-15,40.81551,-73.88553,Bronx,6.5,3.0,40.5,21.5,54.5,55.5
2013-07-16,40.81551,-73.88553,Bronx,6.5,2.6,44.5,24.5,54.5,54.5
2013-07-17,40.81551,-73.88553,Bronx,7.0,2.6,88.125,34.5,58.75,88.125
2013-07-18,40.81551,-73.88553,Bronx,7.0,3.8,73.25,25.0,63.5,73.25
2013-07-19,40.81551,-73.88553,Bronx,7.0,2.6,93.875,26.5,74.0,93.875
2013-07-20,40.81551,-73.88553,Bronx,7.0,2.2,81.5,24.0,76.0,81.5
2013-07-21,40.81551,-73.88553,Bronx,7.0,1.0,49.625,22.0,56.5,56.5
2013-07-22,40.81551,-73.88553,Bronx,6.5,1.0,40.375,23.0,50.5,50.5
2013-07-23,40.81551,-73.88553,Bronx,6.5,1.4,46.75,24.5,43.25,46.75
2013-07-24,40.81551,-73.88553,Bronx,7.0,1.4,37.375,16.5,25.25,37.375
2013-07-25,40.81551,-73.88553,Bronx,6.0,1.0,20.25,11.0,15.75,20.25
2013-07-26,40.81551,-73.88553,Bronx,6.0,1.8,36.125,32.5,16.5,36.125
2013-07-27,40.81551,-73.88553,Bronx,7.0,3.8,59.875,27.0,27.0,59.875
2013-07-28,40.81551,-73.88553,Bronx,7.0,1.4,49.0,20.5,25.666666666666668,49.0
2013-07-29,40.81551,-73.88553,Bronx,6.5,2.2,50.25,24.0,26.75,50.25
2013-07-30,40.81551,-73.88553,Bronx,5.5,1.4444444444444444,40.5,21.5,31.75,40.5
2013-07-31,40.81551,-73.88553,Bronx,5.0,2.6,43.25,22.0,33.5,43.25
2013-08-01,40.81551,-73.88553,Bronx,5.5,1.4,37.75,33.5,48.0,48.0
2013-08-02,40.81551,-73.88553,Bronx,6.0,3.0,44.0,20.5,51.0,52.0
2013-08-03,40.81551,-73.88553,Bronx,6.0,4.2,38.875,21.0,51.0,51.0
2013-08-04,40.81551,-73.88553,Bronx,5.5,1.4,31.875,15.0,35.25,35.25
2013-08-05,40.81551,-73.88553,Bronx,5.0,2.6,33.125,24.5,11.0,33.125
2013-08-06,40.81551,-73.88553,Bronx,5.5,2.6,49.75,26.0,19.25,49.75
2013-08-07,40.81551,-73.88553,Bronx,5.5,1.4,44.125,25.0,30.75,44.125
2013-08-08,40.81551,-73.88553,Bronx,5.5,1.4,31.875,31.5,39.0,48.5
2013-08-09,40.81551,-73.88553,Bronx,6.5,1.0,32.0,24.0,49.5,49.5
2013-08-10,40.81551,-73.88553,Bronx,7.0,1.8,36.75,18.5,39.25,39.25
2013-08-11,40.81551,-73.88553,Bronx,6.5,1.4,38.0,20.5,28.0,38.0
2013-08-12,40.81551,-73.88553,Bronx,7.0,1.8,40.625,30.5,43.25,43.25
2013-08-13,40.81551,-73.88553,Bronx,8.5,1.4,40.375,42.0,57.75,57.75
2013-08-14,40.81551,-73.88553,Bronx,7.5,1.4,29.125,12.0,42.66666666666666,42.66666666666666
2013-08-15,40.81551,-73.88553,Bronx,6.5,3.8,31.125,29.5,31.0,31.125
2013-08-16,40.83606,-73.92009,Bronx,7.0,3.8,40.125,34.5,39.5,40.125
2013-08-17,40.83606,-73.92009,Bronx,6.5,2.6,48.125,29.0,52.0,53.5
2013-08-18,40.83606,-73.92009,Bronx,7.5,2.6,45.875,36.5,46.0,46.0
